merchant,description,amount
KFC,family bucket meal,45.99
Starbucks,morning coffee and pastry,8.50
Walmart,weekly groceries shopping,127.83
Uber,ride to airport,25.40
Chevron,fuel tank full,52.30
Walgreens,flu medicine and vitamins,28.75
Family Clinic,annual checkup appointment,150.00
Verizon,monthly phone bill,85.99
ComEd,electricity usage March,110.45
AMC Theaters,movie tickets for 2,24.00
Spotify,premium music subscription,9.99
Marriott Hotel,3 nights business trip,420.00
Southwest Airlines,roundtrip flight Chicago,280.50
Planet Fitness,monthly gym membership,29.99
H&M,spring clothing shopping,89.45
Best Buy,laptop charger,39.99
Chipotle,lunch burrito bowl,12.75
Shell,car wash service,15.00
CVS Pharmacy,prescription refill,45.50
Netflix,monthly streaming service,15.99
