expense_id,amount,merchant,description,category
EXP00001,193.2,Nike Store,fitness gear,fitness
EXP00002,66.48,Best Buy,computer mouse,technology
EXP00003,281.55,Eye Care Center,eye examination,healthcare
EXP00004,76.77,Waste Management,waste pickup service,utilities
EXP00005,10.76,Disney+,monthly Disney plan,entertainment
EXP00006,47.67,Google Play,premium app,technology
EXP00007,155.61,Liberty Mutual,protection plan,insurance
EXP00008,379.07,Southwest Airlines,family vacation flight,travel
EXP00009,45.21,Udemy,business course,education
EXP00010,185.02,Allstate,property premium,insurance
EXP00011,278.0,State Farm,vehicle coverage,insurance
EXP00012,502.1,Southwest Airlines,flight booking,travel
EXP00013,299.5,Home Depot,lighting fixtures,shopping
EXP00014,19.34,Planet Fitness,fitness membership,fitness
EXP00015,87.64,Amazon Books,textbooks,education
EXP00016,21.63,McDonald's,chicken nuggets,food
EXP00017,31.44,Home Depot,home repair items,shopping
EXP00018,134.24,Marriott Hotel,hotel accommodation,travel
EXP00019,890.78,Real Estate Rental,monthly lease,rent
EXP00020,7.79,Spotify,monthly music plan,entertainment
EXP00021,3832.95,University,student fees,education
EXP00022,159.61,AT&T,wireless bill,utilities
EXP00023,48.32,Google Play,digital content,technology
EXP00024,96.59,Nike Store,fitness gear,fitness
EXP00025,15.09,Chipotle,quesadilla meal,food
EXP00026,1178.49,Expedia,travel booking,travel
EXP00027,90.13,AT&T,wireless bill,utilities
EXP00028,85.94,Water Department,water usage charge,utilities
EXP00029,46.58,Chevron,gasoline purchase,transport
EXP00030,18.31,Domino's,two medium pizzas,food
EXP00031,70.55,Walmart,clothing basics,shopping
EXP00032,91.36,AT&T,wireless bill,utilities
EXP00033,1066.82,Microsoft Store,Xbox controller,technology
EXP00034,39.37,Khan Academy,educational subscription,education
EXP00035,133.01,Enterprise Rental,car rental,travel
EXP00036,148.69,Metro Transit,public transport,transport
EXP00037,279.59,Amazon Books,study materials,education
EXP00038,320.24,Campus Bookstore,academic books,education
EXP00039,35.03,Walgreens,prescription drugs,healthcare
EXP00040,308.43,Dental Office,cavity filling,healthcare
EXP00041,488.63,Amazon Tech,electronics order,technology
EXP00042,4768.56,University,semester tuition,education
EXP00043,35.71,PlayStation Store,gaming content,entertainment
EXP00044,662.33,Expedia,vacation package,travel
EXP00045,159.56,Walmart,garden supplies,shopping
EXP00046,7217.38,University,course registration,education
EXP00047,90.12,H&M,jeans and tops,shopping
EXP00048,958.06,Samsung,tablet device,technology
EXP00049,48.58,LA Fitness,monthly gym dues,fitness
EXP00050,133.41,CVS Pharmacy,flu medication,healthcare
EXP00051,74.49,Shell,car wash service,transport
EXP00052,41.05,LA Fitness,gym membership fee,fitness
EXP00053,71.73,Liberty Mutual,life coverage,insurance
EXP00054,252.77,Allstate,property premium,insurance
EXP00055,2033.6,Housing Authority,rental assistance,rent
EXP00056,2032.55,Property Management,monthly apartment rent,rent
EXP00057,11.81,Chipotle,carnitas tacos,food
EXP00058,926.89,Property Management,rental payment,rent
EXP00059,13.55,Chipotle,carnitas tacos,food
EXP00060,46.12,BP,fuel stop,transport
EXP00061,57.26,Waste Management,garbage collection,utilities
EXP00062,134.27,Target,home decor items,shopping
EXP00063,1164.04,Apartment Complex,complex fees,rent
EXP00064,870.25,Property Management,lease payment,rent
EXP00065,27.62,Lyft,work commute,transport
EXP00066,25.75,Pizza Hut,personal pan pizza,food
EXP00067,2110.94,Landlord Services,monthly rent,rent
EXP00068,318.44,Amazon Tech,tech gadgets,technology
EXP00069,25.46,Parking Authority,downtown parking,transport
EXP00070,4646.31,University,student fees,education
EXP00071,48.19,BP,fuel stop,transport
EXP00072,414.15,Best Buy,headphones,shopping
EXP00073,123.66,Parking Authority,downtown parking,transport
EXP00074,17.23,McDonald's,Big Mac meal,food
EXP00075,98.67,AT&T,internet and phone,utilities
EXP00076,91.27,Concert Venue,festival pass,entertainment
EXP00077,287.41,Hilton Hotels,conference hotel,travel
EXP00078,33.54,Metro Transit,weekly pass,transport
EXP00079,42.23,Lyft,work commute,transport
EXP00080,86.89,Progressive,auto insurance premium,insurance
EXP00081,185.97,Physical Therapy,injury recovery,healthcare
EXP00082,9.14,Disney+,annual subscription,entertainment
EXP00083,82.52,Chevron,full tank gas,transport
EXP00084,232.05,Apple Store,iPad tablet,technology
EXP00085,139.86,MetLife,vision insurance,insurance
EXP00086,242.04,Sports Authority,athletic supplies,fitness
EXP00087,89.85,Microsoft Store,Surface laptop,technology
EXP00088,141.7,Concert Venue,festival pass,entertainment
EXP00089,31.88,Shell,car wash service,transport
EXP00090,197.5,State Farm,auto coverage,insurance
EXP00091,455.0,Expedia,travel reservation,travel
EXP00092,220.67,Costco,warehouse shopping,shopping
EXP00093,33.67,Planet Fitness,fitness membership,fitness
EXP00094,146.13,Target,gift cards,shopping
EXP00095,179.81,Southwest Airlines,business travel,travel
EXP00096,325.17,Costco,bulk snacks,shopping
EXP00097,74.31,Shell,gas tank fill-up,transport
EXP00098,47.12,Khan Academy,academic support,education
EXP00099,190.09,Concert Venue,live music event,entertainment
EXP00100,56.46,Metro Transit,monthly bus pass,transport
EXP00101,50.84,Enterprise Rental,vacation car rental,travel
EXP00102,66.08,Best Buy,computer mouse,shopping
EXP00103,164.06,Delta Airlines,vacation flight,travel
EXP00104,14.89,Uber,ride to airport,transport
EXP00105,18.3,Starbucks,breakfast sandwich,food
EXP00106,160.93,Campus Bookstore,textbook purchase,education
EXP00107,117.42,Udemy,professional development,education
EXP00108,1512.77,Apartment Complex,monthly housing,rent
EXP00109,106.74,Sports Authority,sports equipment,fitness
EXP00110,364.39,Family Clinic,medical consultation,healthcare
EXP00111,179.49,Family Clinic,doctor visit,healthcare
EXP00112,16.08,Starbucks,frappuccino,food
EXP00113,293.08,Home Depot,lighting fixtures,shopping
EXP00114,92.7,Parking Authority,event parking,transport
EXP00115,738.14,Best Buy,wireless headphones,technology
EXP00116,1345.49,Landlord Services,property rent,rent
EXP00117,1023.44,Microsoft Store,Surface laptop,technology
EXP00118,46.59,Planet Fitness,health club,fitness
EXP00119,16.45,AMC Theaters,IMAX movie,entertainment
EXP00120,102.25,Water Department,municipal water,utilities
EXP00121,530.89,Expedia,travel reservation,travel
EXP00122,165.24,Peoples Gas,heating bill,utilities
EXP00123,914.27,Apple Store,iPhone purchase,technology
EXP00124,211.05,Blue Cross Blue Shield,health insurance premium,insurance
EXP00125,28.48,Chipotle,guacamole and chips,food
